,Name,Longitude,Latitude
129,129,-74.97473142941189,5.090801542357326
130,130,-74.84235105335839,4.240490250025061
131,131,-75.05222582935849,5.192489583127809
132,132,-74.95689729812179,4.101663770516637
133,133,-75.23959737386969,5.035641425461478
134,134,-74.80020549433806,5.1790736389373535
135,135,-74.55029128116766,4.121304126734117
136,136,-74.91472057714287,4.869026598448812
137,137,-75.04174517834727,4.875808902209116
138,138,-74.9027105354628,5.227244319769596
139,139,-74.65473206263454,4.18424230733666
140,140,-75.22238064829824,4.826505965477963
141,141,-75.11654286266293,3.5307709313834437
142,142,-75.25890988448353,3.9323557406249847
143,143,-75.02350357053331,5.096250550822333
144,144,-74.9281390506766,4.489676539790537
145,145,-75.84691098690246,3.096702152082713
146,146,-74.8603529037135,3.7240625676834043
147,147,-74.87117294357645,3.8800764314821947
